,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
0,NoName,NoTitle,NoLocation,NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,NoDscrb
1,GALE Partners,Data Scientist,"Carlsbad, CA",NoSalary,4.5,51 to 200 Employees,2010,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),"At Ezoic, we build a platform to help online publishers (i.e. Internet websites) improve their monetization and ensure a fantastic user experience. Our all-in-one digital publishing platform offers a comprehensive suite of tools that automate many of the technical aspects of running a successful website so publishers can focus on connecting with their audience and writing great content.
Artificial Intelligence is at the core of everything that we do, and we are looking for a motivated, creative, results-oriented data scientist to develop novel, scalable models that improve website experiences for tens of millions of visitors each day. This is a high-impact position that will contribute to the very heart of our product.
What you'll do:"
2,AdVon Commerce,Data Scientist,"Dublin, OH","$95,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"AdVon Commerce started with a vision: Solve e-commerce problems for retailers and publishers.
Our customers are so happy with our technology and are constantly asking us to expand our offerings. Hence, AdVon is pushing to increase the speed, efficiency, and resiliency of all our software. Armed with great technical talent our expanded product offering will be designed for the cloud and automatically handle infrastructure, optimization, availability, data protection, and more, so our publishers and retailers can focus on their core competencies, not managing tech solutions.
In our effort to expand the AdVon product offering we are actively hiring talented senior software engineers who can be part of a world class team which is already building a whole new product area for AdVon. This role is a unique opportunity to make a significant impact on our elastic, large scale, high-performance computing environment."
3,Propane Education & Research Council,Data Scientist,Remote,"$132,500 /yr (est.)",4.5,1 to 50 Employees,1996,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),"DATA SCIENTIST
If making a difference in the world for both today and tomorrow fuels your personal career goals, then read on…
The first energy council of its kind, the PROPANE EDUCATION & RESEARCH COUNCIL (PERC) works with the propane industry, consumers, and partner industries to increase the adoption of propane as a clean, affordable, and reliable, energy source.
PERC has an excellent opportunity for a Data Scientist. This exempt position reports to the Senior Vice President of Administration and Finance and we’d prefer for the ideal candidate to be based out of the Richmond, VA metro area."
4,Northrop Grumman,Principal Data Scientist- Tableau,"Chandler, AZ","$120,500 /yr (est.)",4.0,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10026850
Category: Research And Sciences
Location: Chandler, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes- May Consider Occasional/Part-Time Teleworking for this position
Shift: Days (United States Of America)
Travel Required: No
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history."
5,Insurity,Senior Data Scientist,Remote,Visit Insurity Website,3.8,501 to 1000 Employees,1971,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Who We Are
Insurity is a leading property and casualty insurance software and data analytics provider, working with some of the world’s largest insurers, brokers, and MGAs, including 15 of the top 25 P&C carriers in the US. With 900+ team members globally, 10 office locations, and 300+ customers, we have a deep understanding of the insurance business, unparalleled technology expertise, and a singular focus of delivering a simplified insurance experience to our customers.
Insurity's next Senior Data Scientist
Insurity’s Analytics R&D Team is at the forefront of innovation and development within the company, driving the creation of novel and scalable analytics products that can benefit our customers. R&D projects typically include cross-functional team members within Product, Customer Services, and Sales functions. The work will be done using both classical and innovative analytic techniques supported by numerous strategically selected external data sources to achieve industry-leading outcomes. We are seeking to augment its analytics capabilities further by growing a team of R&D researchers with this Senior Data Scientist position."
6,Cognitiv.ai,Lead Data Scientist,"Bellevue, WA","$202,500 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Cognitiv builds custom programmatic ad buying algorithms using the latest advances in Deep Learning. Our platform enables us to offer custom algorithms to all our clients, including advertisers who build custom algorithms for their brands and ROI-types, and agencies who offer more sophisticated targeting solutions to their programmatic clients.
Applied Science and Analytics at Cognitiv is a highly visible team at the center of our product. Our team has a direct impact on the success of campaigns. As a Lead Data Scientist, you will help design and build our next generation of deep learning models, to help drive campaigns’ performance.
Responsibilities
Research new architectures, labelling schemes, and training methodologies."
7,PhenoVista Biosciences,Lead Data Scientist,"San Diego, CA","$130,000 /yr (est.)",1.0,1 to 50 Employees,NoFounded,Company - Private,NoIndustry,NoSector,Unknown / Non-Applicable,"This is an exciting opportunity to join a fast-paced biotech service company located in San Diego, California to build novel drug-discovery models and image analysis techniques. In this position, you will develop data analysis pipelines and deploy machine-learning models based on imaging data while collaborating closely with scientists, research assistants and programmer/analysts. You will use a combination of licensed and home-developed software to explore and visualize cell biology, microscopy, genomics, and other data for inclusion in client-ready reports.
This position will play a key role integrating data sources from advanced microscopy systems, automated liquid handling systems, and other sources to generate reliable statistical analyses of data and clear visualizations. You will combine analytical thinking, programming skills, and organization with a production mindset to create publication-quality data visualizations and reports from lab assay data. You will take ownership of data analysis on multiple on-going projects from the raw data through reporting, working with scientists to implement changes."
8,Cyient,Data Scientist,"Phoenix, AZ",NoSalary,3.4,10000+ Employees,1991,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),"About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making."
9,Industry leader,Data Scientist,"Chagrin Falls, OH","$125,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"I'm a recruiter (headhunter). This service is free to you (the candidate). One of the companies that I recruit for is looking to hire a:
Data Scientist
$100,000 to $150,000
Position
* Artificial intelligence and data science strategy for Industry 5.0 advancement
* Collaborate across the business to understand IT and business constraints
* Prioritize, scope and manage data science projects and corresponding KPIs
* Help to define and communicate governance principles
* Prioritize new data sources and create data pipelines
* Statistical analysis and visualization techniques
* Generate & test hypotheses
* Network with domain experts to better understand the business mechanics that generated the data
* Plan, define, execute and deliver data models and data tools including machine learning-based analytics
* Integrate domain knowledge into the ML solution re: design characteristics, financial risk, customer journey, quality prediction, sales, marketing
* Collaborate with data engineers and IT to evaluate and implement machine learning deployment options
* Test machine learning models and production systems
* Establish best practices around ML production infrastructure"
