,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
0,SparkCognition,Data Scientist,California,Visit SparkCognition Website,4.1,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"SparkCognition catalyzes sustainable growth for their clients throughout the world with proven artificial intelligence (AI) systems, award-winning machine learning technology, and a multinational team of AI thought leaders. Clients are trusted with advancing lives, infrastructure, sustainability, and financial systems across the globe. They partner with SparkCognition to understand their industry’s most pressing challenges, analyze complex data, empower decision-making, and transform human and industrial productivity. With leading-edge artificial intelligence products, SparkCognition’s clients can adapt to a rapidly changing digital landscape and accelerate their business strategies.
If you were already working for us, you would be:
Partnering with project teams in developing and applying ML expertise in developing and delivering customer solutions"
1,"The Travelers Companies, Inc.",Data Scientist,"Hartford, CT","Visit The Travelers Companies, Inc. Website",3.9,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"Company Summary
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Job Category
Analytics & Research
Target Openings
1
Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As a Data Scientist, you will work with business partners to tell the story using data by identifying challenges and opportunities for data analysis and experiments. You will build models that solve key business challenges and enhance our customer experience."
2,OneSolution,Data Scientist,"Alpharetta, GA","$76,881 /yr (est.)",NoRating,Unknown,NoFounded,Company - Private,NoIndustry,NoSector,Unknown / Non-Applicable,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns"
3,EDWARD JONES,Data Scientist I,"Saint Louis, MO","$102,652 /yr (est.)",4.0,10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 15,000+ branch offices where our more than 7 million clients live and work.

In a typical branch office, a financial advisor meets with clients and receives branch office support, so they can focus on building deep relationships with clients. Headquarters associates in St. Louis, Tempe and Mississauga provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. We continue to grow to meet the needs of long-term individual investors.
Data Scientist
Firm Analytics

Come join us in Firm Analytics, where we strive to unleash the full potential of data and AI to address business challenges. As a Data Scientist on our team, you will design, develop and deliver data science solutions requiring advanced mathematical methods, statistical and machine learning models in support of data-driven strategies. You will combine data from multiple sources to develop innovative solutions to business problems and collaborate with business partners and other data scientists to develop tailored analytic solutions that inform and influence business decisions across the firm.






Salary: $75962 - $129341
Category: Headquarters"
4,Crescent Bank,Data Scientist,"Carrollton, TX",NoSalary,3.4,201 to 500 Employees,NoFounded,Company - Private,Banks & Credit Unions,Finance,$50 to $100 million (USD),"About the Position:
Crescent Bank is looking for a Data Scientist who will build models and analyses that lead to a better understanding of how our business performs.

The person in this role will be expected to identify and implement potential solutions that will drive overall performance and profitability of the company. This will include creating analytical frameworks to evaluate solutions to various risks and opportunities related to the business. The person in this role will also be expected to monitor performance of specific business areas and related testing and draw insights for improvement opportunities. In addition, the person in the role will be expected to use analytical techniques to ground the value of different solutions.

What we are looking for:
To find success in this role, a candidate should have a related Bachelor’s degree and related experience. Experience with statistical models and analytical work will also lead to success as well as knowledge of data mining tools such as SQL, SAS, R, and Python.


Crescent Bank began in 1991 as a small New Orleans based community bank. Today, Crescent Bank has a presence nation-wide and is on a mission to leverage technology to provide auto lending and savings access to consumers who may not be served by other traditional banking products.

Crescent Bank prioritizes employee growth and advancement- both as employees and as individuals- through our core values and through the benefits we offer.

Be a Team Player, Continuously Improve, Do the Right Thing, Put the Customer First, & Take Ownership


Crescent Bank Profile


Equal Opportunity Employer/Veterans/Disabled"
5,Lancer Insurance Company,Predictive Modeler,Remote,"$100,000 /yr (est.)",3.3,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners."
6,Ursus,People Products Data Scientist,"Seattle, WA",NoSalary,4.3,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),"Job Title: People Products Data Scientist
Location: Seattle, WA
Duration: 6 Months
Summary:
People Products Data Scientist

The People Engineering Data Science Team focuses on 1) helping Facebook to find awesome new Facebookers and 2) once they join us helping them grow and develop their career. Our focus is on making Facebook the best place to work. We build internal tools, on areas like Recruiting, Performance, Learn, Grow. We work closely with our product teams and other stakeholders and as a Data Scientist, there's a great opportunity to shape how Facebook (and the Industry) thinks about core People issues (such as performance, engagement, mobility).

The People Product Data Science team is part of the People Insights team which includes DS, DE and UXR for people products and recruitment products. We benefit from the close collaboration with our DE and UXR partners to combine data insights with qualitative insights.

General Requirements and Responsibilities


The Data Scientist Analytics role has work across the following four areas:"
7,National Geospatial-Intelligence Agency,Data Scientist,"Saint Louis, MO","$103,127 /yr (est.)",4.0,10000+ Employees,1996,Government,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,"Job Summary
ASSIGNMENT DESCRIPTION: Data Scientists develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex problems.
Additional Job Information
ADDITIONAL INFORMATION: The National Geospatial-Intelligence Agency (NGA) serves as the world leader in providing timely, relevant, accurate and actionable geospatial intelligence (GEOINT). Data Scientists apply the application of programming, statistics and visualization to glean insights from large and disparate data sources. Data Scientists understand and utilize aspects of machine learning to solve and automate classification, regression, cluster analysis, anomaly detection, association discovery, and topic modeling tasks. Data Scientists understand and utilize solutions with predictive patterns from data into practical, intelligent applications that anyone can use. They can utilize rich toolsets to help users create, rapidly experiment, fully automate, and manage machine learning workflows to power intelligent applications. They produce intelligence using geospatial methodologies and spatio-temporal data derived from imagery, intelligence databases, and other classified and unclassified sources in support of national security. They are intelligence analysts who use their understanding of geographic information science and technology, spatial thinking, remote sensing, intelligence issues, spatial relationships and visualization techniques and the social and physical sciences to create information, characterize events, and discover relationships and trends. They produce descriptive and predictive analyses and communicate findings as written, visual, and/or oral geospatial intelligence. Other duties may include: 1. Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large data sets for specified purposes. 2. Identify trends, solves analytical problems, optimizes performance, and develop results through appropriate data analysis techniques (e.g., data mining and retrieval). 3. Use applied statistics, build algorithms, and collaborating with domain experts to analyze large volumes of data to build and enhance products, processes, and systems. 4. Possess the ability to think tactically and strategically; operate in a dynamic environment; and deliver interoperable corporate solutions. 5. They will have extensive experience in building and maintaining geodatabases and integrating and managing foundation, intelligence, and multi-INT data into structured geodatabases. 6. Seek out spatial data from classified and unclassified sources and utilize existing tools or develop methods to tie spatial information to datasets where necessary. 7. Builds and maintains professional relationships with other NGA offices and external partners to collaborate on effective data management, data dissemination, and online on-demand practices. 8. Conduct data mining and retrieval and apply statistical and mathematical analysis to identify trends, solve analytic problems, optimize performance, and gather intelligence. 9. Develop scripts and algorithms (e.g. Python), create explanatory and predictive models and conduct comparative analyses to address complex military and intelligence problems. 10. Support the visualization of information using a range of tools (e.g. Tableau, R, and ESRI Arc-GIS 10.4 suite, including model builder). 11. Provide excellent customer support and interact with analytic units in a professional manner to help understand their challenges, incorporate their feedback, and provide quality solutions. Additional Application Requirement: You may be asked to complete one or more assessments in addition to the application you submit on this website as part of your application to NGA. These assessments may include but are not limited to: Online questionnaires or assessments that require you to describe your job-related knowledge, skills, abilities, or other characteristics that are aligned with the mandatory and desirable qualifications of this job posting. The information you provide in the application you submit must support the response you provide to this questionnaire. You will receive an email to describe any additional assessments required. Please monitor your emails and complete any required assessments as soon as possible. This position may be eligible for an INCENTIVE: The selected candidates may be offered an incentive as part of the offer of employment, based on budget availability. To receive the incentive, the selected candidate must sign a service agreement depending on the approved amount or duration of the incentive. If the employee leaves before the end of the service agreement, the employee may be required to repay a pro rata share amount of the incentive to the government."
8,Cyient,Data Scientist,"Phoenix, AZ",NoSalary,3.4,10000+ Employees,1991,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),"About the Role:
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
You will:
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making."
9,DataStream Insurance,Data Scientist,"Philadelphia, PA",NoSalary,5.0,1 to 50 Employees,2021,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,"About DataStream Insurance

DataStream Insurance is a well-funded insurtech start-up working at the intersection of artificial intelligence and cyber security. We are helping to address one of the largest threats our society currently faces: the risk of cyber-attacks on organizations and businesses. It is about taking away the stress and fear cyber-attacks cause, so companies can get on with running their business.

Powered by adaptive risk modeling technologies, enabled by the world’s leading cyber security claims data, and mapped specifically to each business’ risk profile and technology stack, DataStream partners with MSPs to offer relevant cybersecurity insurance that actively builds resilience. Together, we are stronger."
