,Unnamed: 0,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb,Seniority,Python,R,SQL,Spark,Aws,Excel,PowerBI,Tableau
0,3,Propane Education & Research Council,Data Scietist, OH,132500.0,4.5,10000+,1996,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),"DATA SCIENTIST
If making a difference in the world for both today and tomorrow fuels your personal career goals, then read on…
The first energy council of its kind, the PROPANE EDUCATION & RESEARCH COUNCIL (PERC) works with the propane industry, consumers, and partner industries to increase the adoption of propane as a clean, affordable, and reliable, energy source.
PERC has an excellent opportunity for a Data Scientist. This exempt position reports to the Senior Vice President of Administration and Finance and we’d prefer for the ideal candidate to be based out of the Richmond, VA metro area.",none,0,1,0,0,0,1,0,0
1,4,Northrop Grumman,Data Scietist,Remote,120500.0,4.0,10000+,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10026850
Category: Research And Sciences
Location: Chandler, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes- May Consider Occasional/Part-Time Teleworking for this position
Shift: Days (United States Of America)
Travel Required: No
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.",1,0,1,0,0,0,0,0,0
2,11,Cardone Ventures,Data Scietist, AZ,115000.0,4.7,125.5,2019,Unknown,Consulting,Business Services,$25 to $50 million (USD),"Position Summary
We're looking for a data engineer who is versed in cloud-based distributed data processing technologies and is comfortable reasoning about batch-processing and more real-time data processing use cases. This engineer should understand how to interact with both unstructured and structured data, creating systems to ultimately shape data in a timely manner and into a format that answer's the business's and customer's most important questions. More specifically, this work will involve helping our Finance team automate the monthly financial processing, budgeting and forecasting, and reporting for our clients. Candidates ideally have had a couple of years of experience with the Apache Spark ecosystem and a strong SQL understanding.
Please note this is not a remote opportunity*",1,0,1,1,1,0,0,0,0
3,14,LiveOps,Data Scietist, WA,129770.0,3.8,350.5,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"The Purpose of Your Role
Play a critical role in the design, development, support, and continuous improvement of the BI environment supporting internal and external stakeholders
Analyze complex data from multiple sources, determining configuration and connection methods for ingestion
Design dashboards, reports and cards for scalability and internal/external consumption using the Domo platform
Develop BI solutions according to user requirements, best practices, and industry standards
Participate in a full BI development lifecycle including planning, architecture design, development, testing, migration, and production support",none,0,1,0,0,0,0,0,0
4,16,EDWARD JONES,Data Scietist, CA,142910.0,4.0,10000+,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 14,000+ branch offices where our more than 7 million clients live and work.

A typical branch office has one financial advisor who meets with clients face-to-face and one branch office administrator who enhances the team's ability to build deep relationships with clients. Headquarters associates in St. Louis and Tempe provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. Edward Jones currently has more branch offices than any other financial services firm, and we continue to grow to meet the needs of long-term individual investors.
Firm Analytics
Senior Data Scientist
The Senior Data Scientist is responsible for the design and development of complex mathematical methods, machine learning and statistical models in support of data driven strategies. The role requires the ability to leverage data from multiple sources to develop innovative solutions to business problems.

An ideal candidate must be able to work closely with business partners to identify and develop tailored analytic solutions. A senior data scientist will be responsible for leading projects from design through implementation and final delivery to internal business partners.


Salary: $105753 - $180067
Category: Headquarters",none,0,1,0,0,0,0,0,0
5,17,Indeed,Data Scietist, OH,125000.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities


We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",none,0,1,0,0,0,0,0,0
6,24,Allied Onesource,Data Scietist,Remote,105000.0,4.0,NoSize,NoFounded,Self-employed,Advertising & Marketing,Business Services,NoRevenue,"Data Scientist
We are looking for a Data Scientist to conduct big data analytics and build solutions for difficult and large data and business problems. This role will contribute towards implementing innovative solutions for the organization and our clients.
Are you passionate about solving complex business problem using data science and machine learning?
Does the prospect of solving high impact business problems excite you?
Are you looking for an company that offers great benefits and equity stake?
Are you looking for a remote role?
If so, we what to talk to you!
We are looking for a Data Scientist to conduct big data analytics and build solutions for difficult and large data and business problems. This role will contribute towards implementing innovative solutions for the organization and our clients.

$90,000 - $120,000",none,0,1,0,0,0,0,0,0
7,28,Indeed,Data Scietist, AZ,188000.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",1,0,1,0,0,0,0,0,0
8,32,Zynex Medical,Data Engineer,Remote,120000.0,3.8,350.5,1996,Company - Public,Health Care Products Manufacturing,Manufacturing,NoRevenue,"Data Scientist-Algorithm Engineer
The Data Scientist/Algorithms Engineer is responsible for working with project teams in defining the need for mathematical/statistical/algorithm development in any given project or process; generating mathematical analyses and algorithms; performing statistical analyses; performing experiments; and documenting research and development efforts.
Join us in developing the next generation of non-invasive patient monitoring devices that will change standards of care, improve patient outcomes, and save lives. If you are looking to join an amazing company that is passionate about making a difference in patient’s lives, then Zynex is the place for you.
Location: Hybrid position, combination of remote, Boulder, CO and/or Englewood, CO",none,0,1,0,0,0,0,0,0
9,33,Lancer Insurance Company,Data Scietist, MA,100000.0,3.3,350.5,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners.",none,0,1,0,0,0,0,0,0
